_id,timestamp,device_id,device_id
122,1650989053886.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
123,1650989250014.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
124,1650989360183.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
125,1650989457677.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
126,1650989872086.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
127,1650990030966.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
128,1650990133853.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
129,1650990218541.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
130,1650990282587.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
131,1650990679998.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
132,1650990807895.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
133,1650990826678.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
134,1650990887529.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
135,1650991091136.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
136,1650991117395.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
137,1650991765868.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
138,1650991778677.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
177,1650992357363.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
178,1650992423169.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
179,1650992653639.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
180,1650992803576.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
181,1650992845475.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
182,1650992967242.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
183,1650993527267.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
184,1650993594962.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
185,1650993901424.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
186,1650994101431.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
187,1650994215986.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
188,1650994781157.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
189,1650995248654.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
190,1650995258813.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
191,1650995529947.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
192,1650995550639.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
248,1650996990354.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
249,1650997204983.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
250,1650997344208.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
251,1650997456340.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
280,1650999533340.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
281,1650999535905.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
282,1651000067121.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
283,1651000133973.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
284,1651000894030.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
285,1651000928667.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
286,1651001363920.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
287,1651001871379.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
288,1651002442606.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
289,1651002499128.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
290,1651002574954.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
321,1651005322557.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
322,1651005810526.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
323,1651005878526.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
335,1651006650835.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
336,1651006676396.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
337,1651006783992.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
338,1651006831084.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
339,1651007091536.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
340,1651008240267.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
341,1651008564184.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
342,1651008587265.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
343,1651009240421.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
344,1651009246762.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
345,1651009247917.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
346,1651009266376.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
347,1651010078492.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
353,1651011513636.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
354,1651012089364.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
355,1651012423875.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
356,1651012658903.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
357,1651012785977.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
358,1651013186183.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
361,1651013878581.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
362,1651013879140.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
363,1651014008450.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
364,1651015186767.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
365,1651015227752.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
366,1651015248707.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
367,1651015287314.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
368,1651015851371.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
369,1651015897915.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
417,1651018562153.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
418,1651018566770.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
419,1651018970700.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
420,1651019002101.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
421,1651019136203.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
422,1651019415580.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
451,1651021894042.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
452,1651022311691.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
453,1651023497346.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
466,1651025166431.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
467,1651025760356.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
468,1651025767822.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
469,1651026223066.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
486,1651030530387.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
487,1651030845299.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
488,1651031159400.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
497,1651032332154.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
498,1651032424750.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
499,1651032956194.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
500,1651033017586.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
501,1651039902572.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
502,1651039918285.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
503,1651039950093.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
504,1651039953996.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
505,1651039957888.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
506,1651040519105.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
507,1651040599993.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
508,1651040600787.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
509,1651040600810.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
510,1651040726609.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
556,1651066460820.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
557,1651066562434.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
588,1651069119803.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
589,1651069879830.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
623,1651071699354.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
624,1651071712627.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
625,1651071903629.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
626,1651072962326.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
627,1651073033581.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
628,1651073534553.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
629,1651073561343.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
630,1651073822332.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
631,1651073943255.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
632,1651074037653.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
633,1651075911858.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
634,1651075949613.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
635,1651076931027.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
636,1651077184734.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
637,1651078145700.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
638,1651078167483.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
639,1651078807829.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
640,1651078808200.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
641,1651078808356.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
642,1651078828472.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
643,1651078838061.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
644,1651078862296.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
645,1651078973989.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
646,1651078976370.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
647,1651079122022.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
648,1651079131653.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
649,1651079373321.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
650,1651079457652.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
651,1651084066153.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
652,1651084109974.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
653,1651084115475.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
654,1651084225843.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
723,1651086602695.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
724,1651086667719.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
725,1651086974062.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
726,1651087005603.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
727,1651089110169.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
728,1651089158245.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,2
729,1651089220446.0,0dd46ec9-e40a-4791-9cee-3058dadc1959,3
