_id,timestamp,device_id,device_id
1239,1651164757542.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1240,1651164757558.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1274,1651165211796.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1275,1651165211857.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1276,1651165277437.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1277,1651165277474.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1278,1651165280633.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1279,1651165280651.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1280,1651165281142.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1281,1651165281232.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1282,1651165281628.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1283,1651165305410.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1284,1651165305442.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1285,1651165741591.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1286,1651165741612.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1287,1651165742429.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1330,1651166098099.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1331,1651166118010.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1332,1651166118064.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1333,1651166119987.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1334,1651166144263.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1335,1651166144278.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1336,1651166154367.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1337,1651166154390.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1338,1651166157272.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1339,1651166179364.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1340,1651166179388.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1341,1651166255177.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1342,1651166255192.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1343,1651166257751.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1344,1651166533028.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1345,1651166533041.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1346,1651166637521.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1347,1651166637536.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1348,1651166657921.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1349,1651166657959.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1350,1651166658278.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1351,1651166660992.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1352,1651166661010.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1353,1651166846055.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1354,1651166846315.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1355,1651166977347.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1356,1651166977404.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1357,1651167060807.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1358,1651167060830.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1359,1651167064581.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1360,1651167069389.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1361,1651167069403.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1362,1651167666357.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1363,1651167666390.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1364,1651167667705.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1365,1651167684356.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1366,1651167684375.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1367,1651167692554.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1368,1651167692568.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1369,1651167693416.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1370,1651167756476.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1371,1651167756488.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1372,1651168088160.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1373,1651168088209.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1374,1651168089573.0,5f863ec2-9314-41eb-8425-bf7173194f00,3
1448,1651168155858.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
1449,1651168155875.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1450,1651168266522.0,5f863ec2-9314-41eb-8425-bf7173194f00,1
1451,1651168266546.0,5f863ec2-9314-41eb-8425-bf7173194f00,2
1452,1651168272239.0,5f863ec2-9314-41eb-8425-bf7173194f00,0
