_id,timestamp,device_id,device_id
13111,1651847381238.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13112,1651847709477.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13113,1651847772776.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13114,1651848076813.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13115,1651848169847.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13116,1651848347963.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13117,1651848547626.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13195,1651851697181.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13196,1651851827417.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13197,1651852343049.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13198,1651852676583.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13199,1651853261472.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13200,1651853292316.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13344,1651861401185.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13345,1651861581982.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13346,1651861640719.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13399,1651861693770.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13400,1651862949754.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13401,1651863054343.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13402,1651863143345.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13403,1651865148140.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13469,1651866617220.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13470,1651866680186.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13471,1651866971679.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13472,1651867013682.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13473,1651867021393.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13474,1651867054872.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13475,1651867560712.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13476,1651867596693.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13477,1651868599470.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13478,1651868734315.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13514,1651868887447.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13515,1651868927095.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13516,1651869672627.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13517,1651869745412.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13518,1651869948196.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13519,1651870036882.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13520,1651870807660.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
13521,1651870845729.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,2
13522,1651870903826.0,3c23fa1b-4058-4685-bb71-ca06ffea3757,3
